Rank,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
242,Alonzo Gee,39,13.1,4.9,1.7,3.5,48.2,0.3,0.6,41.7,1.2,1.7,73.8,0.7,1.1,1.8,0.5,0.7,0.1,0.6,5.1
243,Tony Snell,44,15.4,4.8,1.8,3.9,46.2,0.8,2.1,38.5,0.4,0.5,78.3,0.4,1.5,1.9,0.6,0.5,0.1,0.5,5.3
244,Dante Exum,53,20.7,4.7,1.7,4.9,35.2,0.9,3,30.4,0.3,0.5,62.1,0.3,1.2,1.5,2.3,0.5,0.1,1.2,4.5
245,Pablo Prigioni,43,18.5,4.7,1.6,3.7,42.2,1,2.7,37.4,0.5,0.6,84.6,0.4,1.4,1.9,2.4,1.2,0,1.1,6.8
246,Kostas Papanikolaou,39,19.8,4.7,1.8,5,35.6,0.8,2.6,30.1,0.3,0.5,72.2,1,2,2.9,2.1,0.7,0.3,1.3,6.2
246,Tarik Black,39,16.7,4.7,1.9,3.4,56.4,0,0,0,0.8,1.6,51.6,2.2,3,5.2,0.6,0.3,0.2,0.8,7.8
248,Matt Bonner,46,15.6,4.6,1.7,4.3,39.3,0.8,2.3,34.6,0.5,0.6,81.5,0.5,1.4,1.8,0.8,0.2,0.2,0.2,4.8
249,Damjan Rudez,43,16.3,4.6,1.7,4.1,41.7,0.9,2.5,34.9,0.3,0.5,65,0.1,0.6,0.8,0.8,0.3,0.1,0.7,3.3
250,Bismack Biyombo,38,17.6,4.6,1.6,2.9,56.9,0,0,0,1.3,2.6,50.5,2.6,3.6,6.2,0.2,0.2,1.4,0.8,9.3
251,Chase Budinger,44,14.9,4.5,1.7,4.5,37.6,0.6,1.7,34.2,0.6,0.7,80.6,0.3,2.1,2.5,0.8,0.5,0.1,0.8,4.6
252,Steve Blake,53,20.8,4.5,1.6,4.3,36.5,0.9,2.8,32.9,0.4,0.5,71.4,0.2,1.6,1.9,3.8,0.6,0.1,1.3,6.6
253,JaKarr Sampson,47,13,4.4,1.7,3.7,46.5,0.4,1.2,29.8,0.6,1.1,56.9,0.3,1.6,1.9,0.8,0.4,0.3,1,4.4
254,Ray McCallum,38,14.1,4.4,1.9,4.5,41.5,0.3,1.2,25,0.3,0.5,65,0.5,1.3,1.8,1.5,0.4,0.1,0.9,4.4
255,Miles Plumlee,54,18.6,4.3,2,3.6,54.9,0,0,0,0.4,0.7,50,1.8,3.3,5.1,0.5,0.7,1,0.8,8.7
256,Robert Sacre,47,16.3,4.3,1.8,4.4,40.4,0,0,0,0.7,1.1,63,1.3,2.1,3.5,0.7,0.4,0.6,0.4,6
257,Matthew Dellavedova,40,20.2,4.2,1.5,4.1,35.4,0.9,2.3,40.2,0.4,0.6,66.7,0.5,1.2,1.8,2.9,0.3,0.1,0.9,5.5
258,Kent Bazemore,47,14.6,4.1,1.6,3.6,43.5,0.6,1.3,43.3,0.5,1,47.8,0.2,2.2,2.4,0.8,0.5,0.4,0.8,4.9
259,Joe Ingles,50,20.2,4.1,1.5,3.8,39.4,0.7,2.3,30.1,0.4,0.6,72.4,0.3,1.9,2.2,2.5,0.9,0.1,1,6.3
260,James Ennis,43,14.6,4,1.3,3.3,40.4,0.3,1.2,30,1,1.2,86,0.7,1.7,2.4,0.6,0.5,0.3,0.5,5.1
260,Jimmer Fredette,38,10.9,4,1.5,3.8,39.2,0.2,1.1,19,0.8,0.9,94.1,0.2,0.6,0.8,1.2,0.3,0.1,0.6,3.5
260,Travis Wear,38,12.3,4,1.7,4,42.8,0.2,0.6,37.5,0.3,0.4,81.3,0.4,1.3,1.7,0.7,0.2,0.2,0.7,3.8
263,Kendrick Perkins,51,19.2,4,1.6,3.6,44.1,0,0,0,0.7,1.5,50.7,1.6,3.9,5.5,0.8,0.3,0.8,1.4,7.1
264,Nick Collison,46,16.1,3.8,1.5,3.7,41.2,0.3,1.1,24,0.5,0.9,62.5,1.3,2.2,3.5,1.3,0.5,0.3,0.7,6.3
265,Andre Roberson,45,20.6,3.8,1.5,3.2,46.9,0.3,1.3,24.6,0.5,1,47.7,1,3.1,4.1,1.2,0.9,0.6,0.7,7.6
266,Luke Babbitt,42,13.6,3.8,1.3,2.9,44.2,1,2,50,0.2,0.3,69.2,0.2,1.6,1.8,0.3,0.2,0.1,0.4,4.2
267,Andre Miller,51,12.4,3.6,1.5,2.8,54.2,0,0.2,12.5,0.5,0.8,71.8,0.4,1.1,1.5,2.8,0.3,0,0.9,5.8
268,Jason Maxiell,36,14.2,3.6,1.4,3.2,42.2,0,0,0,0.9,1.4,63.3,1.2,1.6,2.9,0.2,0.3,0.8,0.4,5
269,Garrett Temple,42,12.9,3.5,1.2,3,39.5,0.5,1.4,38.3,0.6,0.8,81.3,0.5,1.1,1.6,1,0.8,0.1,0.6,4.5
270,Glen Davis,47,10.1,3.5,1.4,3,45.7,0,0,0,0.7,1,71.4,0.4,1.5,1.9,0.4,0.5,0.1,0.4,4.2
271,Jerome Jordan,36,9.5,3.4,1.3,2.2,59,0,0,0,0.8,1,83.3,1.3,1.3,2.6,0.4,0.2,0.4,0.6,5.3
272,Nik Stauskas,50,13.6,3.4,1.1,3.5,32.8,0.5,1.8,26.1,0.6,0.7,85.7,0.1,0.9,1,0.7,0.2,0.2,0.4,2.7
273,Udonis Haslem,36,12.8,3.3,1.3,3.1,42.3,0,0,0,0.6,0.9,67.6,1,2.4,3.4,0.6,0.3,0.1,0.5,5
274,Tyler Hansbrough,47,13.1,2.9,0.9,1.9,46.2,0,0.1,14.3,1.1,1.6,64.9,1.4,1.9,3.3,0.2,0.4,0.2,0.3,5.1
275,Joe Harris,38,10.4,2.8,1,2.4,41.1,0.7,1.7,39.4,0.1,0.2,62.5,0.1,0.6,0.8,0.6,0.2,0,0.4,2.4
276,Mike Miller,38,15.1,2.4,0.8,2.5,33,0.7,2.1,33.3,0,0.1,50,0.1,1.8,1.9,1,0.3,0.1,0.5,3.5
277,Joey Dorsey,43,11.7,2.1,0.9,1.9,48.1,0,0,0,0.3,1,29.5,1.5,2.3,3.8,0.3,0.6,0.4,0.6,5
